model,ep,strategy,ds_par,ds_transmit,ds_time,sub_par,sub_transmit,sub_time,rebalance_wall,score
Qwen3,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.531796,69973,98.755809,2.577302,1246,154.760078,0.447834,63.812199
Qwen3,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.852714,92894,120.254113,3.859914,1559,231.747443,0.369089,51.890157
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=None_threshold=0.0,1.257790,82489,83.540334,1.247918,17705,76.607822,1.714183,109.049352
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=None_threshold=0.0,1.425022,91892,94.494542,1.412439,19789,86.683008,1.275427,109.011609
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=None_threshold=0.0,1.691569,110046,112.264005,1.681540,23720,103.213805,0.994018,108.768401
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=None_threshold=0.0,2.119932,146768,141.559682,2.109055,31561,129.632082,0.896324,109.201117
Qwen3,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=None_threshold=0.0,1.288529,57792,82.967671,1.281684,14955,78.364635,0.765286,105.873870
Qwen3,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=None_threshold=0.0,1.531796,69973,98.755809,1.518529,18315,92.904189,0.617143,106.298554
Qwen3,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=None_threshold=0.0,1.852714,92894,120.254113,1.833934,24360,112.420066,0.442853,106.968548
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.257790,82489,83.540334,1.588036,345,95.315897,1.857199,87.645751
